adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[99],1042112,pl,Ekshumacja,A report on the exhumation of the remains of the victims of Stalinist repression in the 1930s. The bodies of the prisoners shot by the NKVD in a nearby prison were buried in the area adjacent to the present-day Irkutsk airport.,0.0286,,1990-01-01,Exhumation,False,0.0,0
False,,[16],998726,zh,一半儿,,0.0546,/qdySPjvPFVjqqfV1dcBa2csi4Xo.jpg,1990-06-01,Half,False,0.0,0
False,,[],935417,pt,Aconteceu no Natal,"Lucília works in the house of Jorge, son of a wealthy family from the countryside, who falls in love with her and ends up getting her pregnant before abandoning her. Over the years, Jorge, married to a woman he doesn't like, finds his lost daughter.",0.0404,/nf2NW8qy6OL4YwmTtGM5fKvLysK.jpg,1990-01-01,Aconteceu no Natal,False,0.0,0
False,,[],928446,en,XXII/90 Wolf-Passerelle,"The portrait of a plain steel footbridge, removed after 2009, over a track field between St. Alban and the Wolf graveyard, in the style of a structuralist film, in two acts with two passages each.",0.0404,/46RZR7Y4ZhoBygiU1nCzXNzAyjp.jpg,1990-01-01,XXII/90 Wolf-Passerelle,False,0.0,0
False,,[35],732779,de,Kaffeeklatsch,,0.0429,,1990-01-01,Kaffeeklatsch,False,0.0,0
False,/ofxYMzc6fi81I5QsnqamOBeXFgD.jpg,[99],723401,en,Mixed Messages,"An experimental video collage that incorporates found footage, performance, interviews with young girls, documentary, animation, images from advertising and television, and a dream narrative in a work that examines gender-stereotyping in popular culture, concluding with a post-modern version of the Pandora myth.",0.0286,/nU7DHJ4TkrWz8q48TKnxnUcomxp.jpg,1990-01-01,Mixed Messages,False,0.0,0
False,,[],679558,es,Reto a la muerte,Mexican feature film,0.0404,/wqxnTk4PS4ENIdP4rrAbM96iAY8.jpg,1990-01-01,Challenge to the Death,False,5.0,2
False,,[],643104,en,Mana Waka,"Fifty years in the making, this extraordinary reconstruction of a never-completed 1940 documentary captures the construction of seven massive traditional war canoes by Maori tribespeople in anticipation of New Zealand's centenary celebrations.",0.0322,,1990-05-05,Mana Waka,False,5.0,1
False,,[],600406,tr,Oy Bebek Oy,,0.0404,/oTppun4mMiCYW0nmkjp7j1BEuI0.jpg,1990-05-08,Oy Bebek Oy,False,0.0,0
False,,[],569192,fr,On Edge... 2,,0.0281,/aCdUPtEAem8OF2kcdvZKkXhkMtA.jpg,1990-01-01,On Edge... 2,False,0.0,0
